AeroMexico		Y	1.6				SkyTeam				
Aegean		Y					Star Alliance	Olympic Air			
Aer Lingus				Y							
Air Canada	Y	Y	Y				Star Alliance		2 stopovers or (1 stopover + 1 open-jaw)		
Air Berlin		Y					OneWorld	Etihad, Hainan, Virgin Atlantic			
Air China		Y					Star Alliance	Virgin Atlantic			
Air France		Y	Y	Y	Y		SkyTeam	Alaskan Air, Gol Smiles			
Air New Zealand		0.0153846153846154					Star Alliance	Cathay Pacific, Etihad, Virgin Austrailia,			
Alaska	Y	Y					N/A	Aeromexico, Air France, American Airlines, British Airways, Cathay Pacific, Delta, Emirates, Fiji Airways, Hainan, JAL, KLM, Korean Air, LAN, PenAir, Ravn Alaska, Qantas	1 stopover		
Alitalia		Y	Y				SkyTeam	Etihad, Air Berlin, Air Serbia, Jet Airways			
ANA		Y	Y				Star Alliance				
American		Y					OneWorld	Air Tahiti Nui, Alaska Airlines/Horizon Air, Cape Air, Etihad Airways, Fiji Airways, Gulf Air, Hawaiian Airlines, Interjet (earn miles only), Jet Airways, JetBlue (see comment), Seaborne Airlines, WestJet (earn miles only)			
Asiana		Y					Star Alliance				
Avianca		Y			Y		Star Alliance	AeroMexico, Iberia			
British Airways	Y	Y	Y	Y			OneWorld	Aer Lingus, Alaska Airlines, Avios.com (see note)			Short non-stop one-way flights for as little as 4500 points.
Cathay		Y	Y		Y		OneWorld	Aer Lingus, Air China, Air New Zealand, Alaska Airlines, China Eastern, DragonAir, Gulf Air, Jet Airways, Royal Brunei	2 stopovers + 1 open jaw, or 4 stopovers on OW partners		
China Eastern		Y					SkyTeam				
China Southern		Y					SkyTeam				
Delta	Y	Y	Y				SkyTeam	Air Tahiti Nui, Alaska Airlines, GOL, Hawaiian Airlines, Jetstar, SkyMark, Thai AirAsia, Virgin Atlantic, Virgin Australia	None		Virgin Australia from US,Australia
EL AL	0.02		0.02				N/A	American Airlines, Qantas, South African Airways, AeroMexico			
Emirates		Y	Y				N/A	Alaska Airlines, EasyJet, Japan Airlines, Jet Airways, JetBlue, Jetstar, Korean Air, Qantas, South African Airways, TAP Portugal, Virgin America			
Etihad		Y	Y		Y		N/A	Airberlin, Air Serbia, Air Seychelles, Air New Zealand, Alitalia, ANA, American Airlines, Asiana, Bangkok, Brussels, Czech, Etihad Regional, Garuda Indonesia, Hainan, Jet Airways, Korean Air, Malaysia, Oman, Royal Air Maroc, SriLankan, Ukraine International, Virgin Australia, 			
EVA Airways	Y				Y		Star Alliance	TBD			
Frontier	Y		Y				N/A				
Garuda Indonesia					Y		SkyTeam	TBD			
Gol		Y					N/A	Delta, AirFrance, KLM, Iberia, Qatar, Aerolíneas Argentina			
Hainan		Y					N/A	Grand China, Lucky Air, Tianjin, West Air, Hong Kong Airlines, Air Berlin, Capital Airlines			
Hawaiian	Y	Y	Y				N/A	American Airlines, China Airlines, JetBlue, Korean Air, Virgin America, Virgin Atlantic, Virgin Australia			
Iberia			Y	Y			OneWorld	Bitner Canarias, Avianca, Taca, Royal Air maroc, Gol, Meridiana, Vueling			
Iceland Air	Y						N/A				
JAL		Y					OneWorld	Air France(AF), Emirates(EK) and China Eastern Airlines(MU), Bangkok Airways(PG), Jetstar Japan (domestic only)			
Jet Airways					Y		N/A	Air Berlin, Air Serbia, Air Seychelles, Alitalia, Etihad, Air France, Air New Zealand, ANA, AA, Austrian, Bangkok, Cathay Pacific, Cathay Dragon, Delta, Emirates, Garuda, Gulf Air, Kenya, KLM, Korean Air, Lufthansa, Malaysia, Qantas, South African, Swiss, Turkish, Vietnam, Virgin Atlantic			
JetBlue			0.8		0.5		N/A	American Airlines, Emirates, Hawaiian Airlines, Silver Airways			
Korean	Y	Y		Y			SkyTeam	Alaska Airlines, Emirates, Etihad Airways, Hawaiian Airlines			
LATAM		1.5					OneWorld	Alaska, Aeromexico			
Lufthansa	Y					Star Alliance	TAM, Jet Airways	2 stopvers + 2 open-jaws		
Malaysia					Y		OneWorld				
Qantas					Y		OneWorld				
Qatar Airways		Y			Y		OneWorld	Asiana, Gol, Middle eastern, Virgin Atlantic			
SAS	Y						Star Alliance				
Saudia		Y					SkyTeam				
Singapore		Y	Y	Y	Y		Star Alliance	Air India, TAM Airlines, Virgin America, Virgin Atlantic, Virgin Australia			
South African	Y						Star Alliance				
Southwest	0.8			Y			N/A				
Thai	Y	Y			Y		Star Alliance				
Turkish					Y		Star Alliance				
United		0.5		Y		0.4166666666666667	Star Alliance	Aer Lingus, Aeromar, Cape Air, Great Lakes, Hawaiian Airlines, Island Air, Jet Airways	1 stopover + 2 open-jaws		
Virgin Atlantic	Y	Y	Y	Y	Y		N/A	Air China, Air New Zealand, ANA, Cyprus, Delta, Gulf Air, Hawaiian Airlines, Jet Airways, Malaysia, SAS, Singapore, South African, Virgin America, Virgin Australia			
Virgin Australia		Y					N/A	Virgin Samoa, Etihad, Virgin America, Virgin Atlantic, Singapore, Air New Zealand, Delta, Silk Air, Hawaiian Airlines, Airberlin
